id,name,address,photo_count
"3ae31f95-1ad4-4ef1-a46d-aa95e3851157","Famous Sungei Road Trishaw Laksa","217 JALAN BESAR, DESKER ROAD CONSERVATION AREA, Singapore 208899",0
"b7f0de90-a3c6-430d-9368-b17d467ed4c5","Komala Vilas","244 SERANGOON ROAD, Singapore 218088",0
"a3aacfed-08c2-41ab-a901-9f06f41570a4","Tiong Bahru Market","30 JALAN KLINIK, Singapore 160030",0
"1cc3b75d-e414-4021-939b-4178dcc89b89","Sushiro","304 ORCHARD ROAD, LUCKY PLAZA, Singapore 238863",0
"1c49666e-e6ba-4dd2-b506-a0cf6b18bf7a","Kim Keat Hokkien Mee","26 TOA PAYOH EAST, Singapore 310026",0
"bf8da600-787c-41da-acda-a1cce498de53","New Rong Liang Ge Cantonese Roast Duck","335 SMITH STREET, CHINATOWN COMPLEX, Singapore 050335",0
"8e309dc2-c336-42d3-9a6f-a42c0d3ccdd6","Jian Bo Shui Kueh","30 JALAN KLINIK, Singapore 160030",0
"9132884a-76b0-4fea-bfbd-d594060083b4","Mei Heong Yuen Dessert","335 SMITH STREET, CHINATOWN COMPLEX, Singapore 050335",0
"a3f7a574-b271-49b7-8b37-ec81f94ec8cd","Seorae Korean Charcoal BBQ","3 RAFFLES PLACE, BHARAT BUILDING, Singapore 048617",0
"e28d1492-80fe-4380-ae4b-99c144d625b8","Ice Cream Charlie","335 SMITH STREET, CHINATOWN COMPLEX, Singapore 050335",0
"3eba3376-beff-4cd2-99e4-77254c05d323","Genki Sushi","435 ORCHARD ROAD, EMBASSY OF THE REPUBLIC OF POLAND, Singapore 238877",0
"0fc87c6d-4869-4e99-9302-c222cd0cb1df","Special Shanghai Tim Sum","1 Kadayanallur St, Maxwell Food Centre, #01-92, Singapore 069184Phone: 96623501",0
"01c76a3f-2ac9-494a-9daa-7b832768e08d","Thai Express","435 ORCHARD ROAD, EMBASSY OF THE REPUBLIC OF POLAND, Singapore 238877",0
"5a7e929a-6f61-481e-9c96-ca8ca952c006","Blanco Court Prawn Mee","38 BEDOK SOUTH ROAD, BEDOK SOUTH PARKVIEW, Singapore 460038",0
"089e88fa-dae0-4ded-b70e-0973e8665374","Hock Lam Street Popular Beef Kway Teow","531 UPPER CROSS STREET, HONG LIM COMPLEX, Singapore 050531",0
"3c7677ba-5d34-4a8d-960a-c91fc45c5d10","Samy's Curry","10 DEMPSEY ROAD, DEMPSEY CLUSTER (TANGLIN VILLAGE), Singapore 247700",0
"521464d7-8ebb-43c1-a91b-1a9243b31cb9","Machida Shoten Ramen","180 ORCHARD ROAD, PERANAKAN PLACE, Singapore 238846",0
"65d0cc29-5883-4edb-a9a0-d0c09b630df4","Ikoi Japanese Restaurant","401 Havelock Road, #01-01, Hotel Miramar, Singapore 169631",0
"11c5ea7d-9c8c-4145-a468-1aca3735e55c","Sen","371 Beach Road, #01-36, City Gate, Singapore 199597",0
"d2a8965f-1b64-47c5-9377-46f49626e1ca","Teppei Japanese Restaurant","1 Tras Link, #01-18, Orchid Hotel, Singapore 078867",0
"c83ad140-0611-4fac-9002-2e329b9ddc49","Husk Nasi Lemak","470 North Bridge Rad, #03-21, Bugis Cube, Singapore 188735",0
"c0ee761c-3642-44ac-8ab4-5e43de938de9","He Jia Huan Ban Mian (Toa Payoh)","75 Lor. 5 Toa Payoh, #01-14, Singapore 310075",0
"985a31ec-e4e0-419d-944a-79a3f0598b1f","Kungfu JB Pau (Tampines)","201 Tampines St 21, Gong Xi 21 Food Court, S520201",0
"c9d2a6ff-819c-4eee-8305-f92e42024fb2","Mizzy Corner Nasi Lemak","26 Changi Village Hawker Centre, Singapore 500002",0
"167ba38b-d961-4b8f-9a9f-da984bec168f","PUNCH","32 North Canal Road, Singapore 059288",0
"2169eec9-8093-4133-88e4-e46dee5c0f38","Myungdong K","9 Yio Chu Kang Road, #01-09, Singapore 545523",0
"0b8cd60e-c7f5-4e1b-afb5-fb7e00af16b4","Super Star K","Super Star K, 75 Tanjong Pagar Road, Singapore 088496",0
"5c353c9f-1835-49ea-93fa-61f15ae8bab1","Bak Chor Mee","466 Crawford Lane, #01-12, Singapore 190466",0
"e1a8ef14-9259-46a0-a2b9-69ec4236a403","MIMI Korean BBQ Restaurant","2 Peck Seah Street, #01-01, Air View Building, Singapore 079305",0
"7f1bafeb-6ea3-4a5f-8697-8bcea46da467","Lian Soon Huat Live Seafood","259 Bukit Panjang Ring Road,  #01-36, Singapore 671259",0
"bc58cf15-0d56-4256-9857-abb7da423eb7","He Jia Huan Ban Mian (Jurong West)","496 Jurong West Street 41, #01-84, Singapore 640496",0
"d40736a1-f50c-42e7-8c58-35893a314054","SYIP","72 Bendemeer Rd, #01-05, Singapore 339941",0
"6a839299-3d8a-4740-b89a-01228485a900","Prawn Mee","245 Beach Road #01-01, Singapore 189754",0
"1c4efbf3-8005-44d6-ac75-48001c05f5e5","September Coffee","258 South Bridge Rd, #01-01, Singapore 058807",0
"7b4a987a-34e5-4000-ba0d-561b2c353b3c","Boon Tong Kee (River Valley)","425 River Valley Rd, Singapore 248324",0
"c2db0473-9b8b-4423-a6ad-e0819a57f570","Boon Tong Kee (Bukit Timah)","18 Cheong Chin Nam Rd, Singapore 599742",0
"cd3f7c69-ca1a-41dc-9267-2f8fd24766fd","Boon Tong Kee (Whampoa)","34 Whampoa W, #01-93, Singapore 330034",0
"ad4dd196-c898-4d4e-997f-d64ff8a922ae","Boon Tong Kee (Chinatown)","11 Smith St, Singapore 058925",0
"ec8a53eb-6963-4741-b65f-f2c3328acb22","Boon Tong Kee (Ang Mo Kio)","233 Ang Mo Kio Ave 3, #01-1194, Singapore 560233",0
"7ba3e838-8c96-4273-9c8b-86a1f65fd088","He Jia Huan Ban Mian (Whampoa)","90 Whampoa Dr, #01-66, Singapore 320090",0
"6eddcc69-1ed8-441f-acc9-3287c8dcaeee","COCA Hotpot","3 Temasek Boulevard #02-440 Suntec City Mall, Singapore 038983",0
"e54eb8b8-e385-4468-8275-f9152d20a741","For The People","Singapore",0
"eccdf88a-a250-4c0c-9166-bb1feba8c5e5","Yi Zi Wei","Singapore",0
"d786f080-a090-4530-9039-3be8230b3c3a","Tang Lung","Singapore",0
"c6f18552-0022-478e-b908-5491c20c1211","Steeped Tea Bar","Singapore",0
"e547c7b1-9746-4904-8386-6372b63abf74","Kelantan Kway Chap","Singapore",0
"bfb8bfb0-8205-4e9d-ba65-77a44d62f9fe","Hamamoto","58 Tras Street, Singapore 078997",0
"04430bf9-1413-4420-a9b5-9e7e0ca35f78","Cho Omakase","63 Chulia Street, #01-03, Payswiff Private Limited, Singapore 049514",0
"7fb140d9-7d4b-4227-85f3-919bac01df34","One Kueh At A Time","Blk 713A Ang Mo Kio Ave 6, #01-02, Singapore 561713",0
"dd9f9a86-5c16-473b-95e7-f552f40951ab","Jia Li Seafood Soup (Tiong Bahru)","302 Tiong Bahru Rd, #B1-135, Singapore 168732",0
"5eb5202c-ffea-47d7-877b-36d22dc2ca0b","He Jia Huan Ban Mian (Redhill)","85 Redhill Ln, #01-69, Singapore 150085",0
"10973508-5f02-443d-975b-f56d89c3ceec","Mangiamo Pizzeria","180 Albert St, #01-19B/C, Singapore 189971",0
"0f2c3d30-dfd5-4a78-ac11-5cdf1b97a754","Tsukimi Hamburg (Jurong)","1 Jurong West Central 2, B1-52, Singapore 648886",0
"32b41023-7d65-4b78-b083-603d1ef4a82e","Jia Li Seafood Soup (Chinatown Point)","133 New Bridge Rd, B1-51/51c Chinatown Point, Singapore 059413",0
"faa376a6-751c-4f8c-aec7-960b8e78d2a5","Jia Li Seafood Soup (Upper Serangoon)","957 Upper Serangoon Rd, Singapore 534717",0
"25a24270-e42a-4809-b8d1-aaca213c30c7","Tsukimi Hamburg (Hougang Mall)","Singapore, Hougang Ave 10, 90号, Hougang Mall, #02-25 邮政编码: 538766",0
"97d6872e-9f90-4aae-b787-156f61c6aa25","Blue Jasmine","10 Farrer Park Station Road, Level 5, Park Hotel Farrer Park, Singapore 217564",0
"e6738d57-d546-49e9-9cd8-7fe136ebebe1","The Ride Side Skate Cafe","108 Yuan Ching Road, #01-01, Rainforest Pavilion @ Jurong Lake Gardens",0
"acd342e5-a426-4f11-983d-241ec6dc7f6c","Feng Sheng Hainanese Chicken Rice","3 Shenton Way, Shenton House, Shenton Food Hall, Singapore 068805",0
"a3dbc30e-d66e-40f5-9bd8-7c4c08d1d465","Cafe Bakeaholic","25 Springside Green #01-12, The Brooks II, Singapore 786015",0
"2974a049-5392-4d23-b109-219804bb5b7b","SLUSHYAH","#02-26, SCAPE, 2 Orchard Link, Singapore 237978",1
"557ab478-814b-4928-8db9-46f6b4cde9e8","Kungfu JB Pau (Changi Village)","Blk 4 Changi Village Rd, #01-2082, S500004",1
"07be79c0-2b89-48d7-b8e1-4adb6d54fda5","Knots Cafe & Living","102E Pasir Panjang Road #01-08, Citilink Warehouse, Singapore 118529",1
"38c8ac76-3fac-4878-b38b-409aa804deec","Princess Terrace","403 Havelock Rd, #1F Copthorne King's Hotel Singapore, Singapore 169632",1
"c9251b44-56dc-4524-bb8a-ce67abedeb14","Song Zhou Carrot Cake","21 Sengkang West Avenue, Fernvale Hawker Centre, Singapore 797650",1
"83108408-9863-4f63-85ae-dc3761eb19e4","Kebuke","160 Orchard Rd, #01-11/12, Taste Orchard, S238842",1
"32b9f882-3ea6-4f8f-981b-9e5278c99edd","HunBun","1 Jalan Anak Bukit, #B1-12, Bukit Timah Plaza, Singapore 588996",1
"4e15941d-8aa3-4e6e-b9a1-4cef2f447ee7","Star Pho Le Beef Noodle Soup","543 Geylang Rd, Singapore 389498",2
"690ffd13-8e93-4b39-a1cd-55f8d156d0b5","TopTable","46 Kim Yam Rd, New Bahru, #04-12, Singapore 239351",2
"79e89bf4-b9a5-4bb7-b949-d9bf777ff041","Equate Coffee","1 Tanjong Pagar Plz, #02-25, Singapore 082001",2
"0e4a77c6-fa6b-496e-bd5e-aee7ad9ba533","The Art @ APS","Assumption Pathway School, Cashew Road",2
"f3b38a26-e577-48af-8c63-e75d2a76788a","Fortune Bak Kut Teh","3 Soon Lee St, #01-08 Pioneer Junction, Singapore 627607",2
"a468e3bc-53e6-4276-b726-ecf597eec930","Warabimochi Kamakura","1 Holland Village Way #01-11, Singapore 275746",2
"1051e359-ff27-4318-87b7-9657f07ef735","Zhou Zhen Zhen Vermicelli & Noodles","34 Upper Cross St, Block 34, Singapore 050034",2
"9f988a51-96aa-4cf5-abc7-213ded3b19d7","Ko Ryo Jeong Restaurant","10 Anson Road, #02-59, International Plaza, Singapore 079903",3
