[dotenv@17.2.3] injecting env (6) from .env.local -- tip: ⚙️  enable debug logging with { debug: true },,,,,,,,,,
id,name,station_id,lat,lng,distance_m,walking_min,issue,Address,,
65d75efb-cb23-480f-9f78-06aae541fa3d,Guilt,null,,,,,No coordinates,,,
7fb140d9-7d4b-4227-85f3-919bac01df34,One Kueh At A Time,null,,,,,No coordinates,,,
be18cbf2-b9e4-444b-b9c9-09b92451a68b,Da Dong Prawn Noodles,null,,,,,No coordinates,,,
d2cdd7c6-8e75-4a78-8e32-a1bc905ce1af,Raw Kitchen Bar,null,,,,,No coordinates,,,
7dbbc817-c590-4d84-93ed-391853c5504b,Simon Road Hokkien Mee (Kovan),kovan,,,163,,No coordinates,,,
79df876d-64dd-4381-a078-021d6258d525,Huevos,lavender,,,449,,No coordinates,,,
934d7672-3fa9-46ff-b2dd-ce603262da38,Les Clos,fort-canning,,,661,,No coordinates,,,
953987f3-4816-4522-a65a-e29b2d50030a,Odem,fort-canning,,,646,,No coordinates,,,
f270cd7b-2f54-44f7-8247-f823e783d61b,Keng Eng Kee,queenstown,,,997,,No coordinates,,,
3f7c64f8-d459-406f-8566-8981dc7c41ec,GU:UM,outram-park,,,218,,No coordinates,,,
16a83ccc-7814-4590-8a7f-56e44669c192,Soi Candy,null,,,,,No coordinates,,,
cd08c022-8283-4908-b3dd-1b2e785529ed,The Masses,city-hall,,,52,,No coordinates,,,
79e89bf4-b9a5-4bb7-b949-d9bf777ff041,Equate Coffee,tanjong-pagar,,,446,,No coordinates,,,
e60f9eb8-14f2-45fb-a4cd-a1367e530db2,FYP Cafe,dhoby-ghaut,,,676,,No coordinates,,,
c08a3ef9-047a-42f0-af35-702c83ed072d,Ms Durian,rochor,,,510,,No coordinates,,,
ed5c6b6e-65ba-43b2-8bce-d80522a56366,Ah Kow Mushroom Minced Pork Mee,toa-payoh,,,534,,No coordinates,,,
37a46c8e-a779-4199-a187-eebe453e95cc,Hill Street Tai Hwa Pork Noodle,lavender,,,236,,No coordinates,,,
90298072-9cd0-4eeb-94dd-a05fdabf377c,Jin Xi Lai (Mui Siong) Minced Meat Noodle,rochor,,,502,,No coordinates,,,
75225a92-b8c3-412a-8c23-e4879875fac4,Lai Heng Mushroom Minced Meat Noodles,toa-payoh,,,535,,No coordinates,,,
64e97456-0def-4f3b-a07c-64ee1441f2a6,Seng Kee Mushroom Minced Meat Noodle,lorong-chuan,,,1317,,No coordinates,,,
,,,,,,,,,,
6d2e0ab0-083c-40b7-a0b0-c4a889f28f53,Cheeky Signature's,null,,,,,No coordinates,"Rochor Canal Rd, #02-17 Sim Lim Square, Singapore 188504",,
8def57a3-2240-47b9-a296-526ab9711065,Pawa Bakery,null,,,,,No coordinates,"20 Cecil St, PLUS, #01-02 Pawa Bakery, 049705",,
,,,,,,,,,,
,,,,,,,,,,
b7f93b08-7306-4500-b2d6-266191da4abe,Lao Dong Bei Shi Kao,null,,,,,No coordinates,"24 Mosque St, Singapore 059504",,
87064e65-3696-4414-8998-57e6923a429f,Mad Roaster,null,,,,,No coordinates,"7 Maxwell Rd, #02-107 Amoy Street Food Centre, Singapore 069111",,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
117c2616-fbd0-4176-91e6-40bca2c013d3,Miznon,null,,,,,No coordinates,"6 Stanley St, #01-01, Singapore 068725",,
d29387bc-7020-4c14-817f-d40045a8c7ee,San Pin Pao Fan,null,,,,,No coordinates,"51 Telok Ayer Street #01-18 - Stall, 51 Telok Ayer St, #9, 048441",,
0d0cdce4-cd51-4696-91c2-2b14215099cd,SSAK3,null,,,,,No coordinates,"231 Bain St, #02-01, Singapore 180231",,
,,,,,,,,,,
48be13af-af45-4b87-a66b-82d7f3310d57,WellSmoocht,null,,,,,No coordinates,"319 Jurong East Street 31, #01-58, Singapore 600319",,
5cc37889-0b48-4c18-a136-00079cbc3704,Boon Tong Kee,null,,,,,No coordinates,Multiple outlet. Upload all,,
a828d9f4-1da2-435b-91c5-9d54c304eb71,Carmen's Best,null,,,,,No coordinates,,,
,,,,,,,,,,
,,,,,,,,,,
